          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-12;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-13;        54;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-14;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-15;        46;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-16;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-17;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-18;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-19;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-20;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-21;        46;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-22;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-23;        93;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-24;        93;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-25;        83;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-26;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-27;        67;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-28;        65;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-29;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-30;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-31;        54;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-01;        60;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-02;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-03;        44;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-04;        34;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-05;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-06;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-07;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-08;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-09;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-10;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-11;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-12;        51;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-13;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-14;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-15;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-16;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-17;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-18;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-19;        65;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-20;        50;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-21;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-22;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-23;        54;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-24;        51;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-25;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-26;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-27;        46;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-28;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-29;        78;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-30;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-01;        39;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-02;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-03;        41;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-04;        38;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-05;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-06;        40;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-07;        50;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-08;        72;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-09;        72;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-10;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-11;        64;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-12;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-13;        51;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-14;        54;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-15;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-16;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-17;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-18;        51;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-19;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-20;        44;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-21;        36;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-22;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-23;        40;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-24;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-25;        76;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-26;        87;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-27;        81;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-28;        68;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-29;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-30;        50;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-07-31;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-01;        40;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-03;        33;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-04;        36;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-05;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-06;        40;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-07;        38;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-09;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-10;        34;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-11;        31;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-12;        34;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-13;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-14;        60;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-15;        54;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-16;        51;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-17;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-18;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-19;        42;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-20;        38;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-21;        35;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-22;        35;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-23;        33;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-24;        26;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-25;        29;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-26;        35;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-27;        32;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-28;        36;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-29;        46;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-30;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-08-31;        32;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-09-01;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-09-02;        42;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-03;        62;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-04;        58;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-05;        48;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-06;        43;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-07;        43;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-08;        36;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-09;        30;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-10;        32;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-11;        29;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-12;        30;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-13;        29;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-14;        32;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-15;        43;   -9999.0
          Bauru;         SBBU;  -22.3200;  -49.0700;   2014-09-16;        35;   -9999.0
